Date,Open,High,Low,Close,Adj Close,Volume
1/2/2024,187.149994,188.440002,183.889999,185.639999,185.152283,82488700
1/3/2024,184.220001,185.880005,183.429993,184.25,183.765945,58414500
1/4/2024,182.149994,183.089996,180.880005,181.910004,181.432098,71983600
1/5/2024,181.990005,182.759995,180.169998,181.179993,180.703995,62303300
1/8/2024,182.089996,185.600006,181.5,185.559998,185.072495,59144500
1/9/2024,183.919998,185.149994,182.729996,185.139999,184.653595,42841800
1/10/2024,184.350006,186.399994,183.919998,186.190002,185.700836,46792900
1/11/2024,186.539993,187.050003,183.619995,185.589996,185.102417,49128400
1/12/2024,186.059998,186.740005,185.190002,185.919998,185.431549,40444700
1/16/2024,182.160004,184.259995,180.929993,183.630005,183.147568,65603000
1/17/2024,181.270004,182.929993,180.300003,182.679993,182.200058,47317400
1/18/2024,186.089996,189.139999,185.830002,188.630005,188.134445,78005800
1/19/2024,189.330002,191.949997,188.820007,191.559998,191.056732,68741000
1/22/2024,192.300003,195.330002,192.259995,193.889999,193.3806,60133900
1/23/2024,195.020004,195.75,193.830002,195.179993,194.667221,42355600
1/24/2024,195.419998,196.380005,194.339996,194.5,193.988998,53631300
1/25/2024,195.220001,196.270004,193.110001,194.169998,193.659882,54822100
1/26/2024,194.270004,194.759995,191.940002,192.419998,191.914474,44594000
1/29/2024,192.009995,192.199997,189.580002,191.729996,191.226288,47145600
1/30/2024,190.940002,191.800003,187.470001,188.039993,187.545975,55859400
1/31/2024,187.039993,187.100006,184.350006,184.399994,183.915543,55467800
2/1/2024,183.990005,186.949997,183.820007,186.860001,186.369095,64885400
2/2/2024,179.860001,187.330002,179.25,185.850006,185.36174,102518000
2/5/2024,188.149994,189.25,185.839996,187.679993,187.18692,69668800
2/6/2024,186.860001,189.309998,186.770004,189.300003,188.802673,43490800
2/7/2024,190.639999,191.050003,188.610001,189.410004,188.912399,53439000
2/8/2024,189.389999,189.539993,187.350006,188.320007,187.825256,40962000
2/9/2024,188.649994,189.990005,188,188.850006,188.594208,45155200
2/12/2024,188.419998,188.669998,186.789993,187.149994,186.8965,41781900
2/13/2024,185.770004,186.210007,183.509995,185.039993,184.789352,56529500
2/14/2024,185.320007,185.529999,182.440002,184.149994,183.900558,54630500
2/15/2024,183.550003,184.490005,181.350006,183.860001,183.610962,65434500
2/16/2024,183.419998,184.850006,181.669998,182.309998,182.063049,49701400
2/20/2024,181.789993,182.429993,180,181.559998,181.314072,53665600
2/21/2024,181.940002,182.889999,180.660004,182.320007,182.073059,41529700
2/22/2024,183.479996,184.960007,182.460007,184.369995,184.12027,52292200
2/23/2024,185.009995,185.039993,182.229996,182.520004,182.272781,45119700
2/26/2024,182.240005,182.759995,180.649994,181.160004,180.914627,40867400
2/27/2024,181.100006,183.919998,179.559998,182.630005,182.382629,54318900
2/28/2024,182.509995,183.119995,180.130005,181.419998,181.174255,48953900
2/29/2024,181.270004,182.570007,179.529999,180.75,180.505173,136682600
3/1/2024,179.550003,180.529999,177.380005,179.660004,179.416656,73488000
3/4/2024,176.149994,176.899994,173.789993,175.100006,174.862823,81510100
3/5/2024,170.759995,172.039993,169.619995,170.119995,169.889572,95132400
3/6/2024,171.059998,171.240005,168.679993,169.119995,168.890915,68587700
3/7/2024,169.149994,170.729996,168.490005,169,168.771088,71765100
3/8/2024,169,173.699997,168.940002,170.729996,170.498734,76114600
3/11/2024,172.940002,174.380005,172.050003,172.75,172.516006,60139500
3/12/2024,173.149994,174.029999,171.009995,173.229996,172.995346,59825400
3/13/2024,172.770004,173.190002,170.759995,171.130005,170.898209,52488700
3/14/2024,172.910004,174.309998,172.050003,173,172.765671,72913500
3/15/2024,171.169998,172.619995,170.289993,172.619995,172.386185,121664700
3/18/2024,175.570007,177.710007,173.520004,173.720001,173.484695,75604200
3/19/2024,174.339996,176.610001,173.029999,176.080002,175.841492,55215200
3/20/2024,175.720001,178.669998,175.089996,178.669998,178.427994,53423100
3/21/2024,177.050003,177.490005,170.839996,171.369995,171.137878,106181300
3/22/2024,171.759995,173.050003,170.059998,172.279999,172.046646,71106600
3/25/2024,170.570007,171.940002,169.449997,170.850006,170.618591,54288300
3/26/2024,170,171.419998,169.580002,169.710007,169.480133,57388400
3/27/2024,170.410004,173.600006,170.110001,173.309998,173.075241,60273300
3/28/2024,171.75,172.229996,170.509995,171.479996,171.247726,65672700
4/1/2024,171.190002,171.25,169.479996,170.029999,169.799698,46240500
4/2/2024,169.080002,169.339996,168.229996,168.839996,168.611298,49329500
4/3/2024,168.789993,170.679993,168.580002,169.649994,169.420197,47691700
4/4/2024,170.289993,171.919998,168.820007,168.820007,168.591339,53704400
4/5/2024,169.589996,170.389999,168.949997,169.580002,169.350296,42055200
4/8/2024,169.029999,169.199997,168.240005,168.449997,168.221832,37425500
4/9/2024,168.699997,170.080002,168.350006,169.669998,169.44017,42451200
4/10/2024,168.800003,169.089996,167.110001,167.779999,167.552734,49709300
4/11/2024,168.339996,175.460007,168.160004,175.039993,174.802902,91070300
4/12/2024,174.259995,178.360001,174.210007,176.550003,176.310867,101593300
4/15/2024,175.360001,176.630005,172.5,172.690002,172.456085,73531800
4/16/2024,171.75,173.759995,168.270004,169.380005,169.150574,73711200
4/17/2024,169.610001,170.649994,168,168,167.772446,50901200
4/18/2024,168.029999,168.639999,166.550003,167.039993,166.813736,43122900
4/19/2024,166.210007,166.399994,164.080002,165,164.776505,67772100
4/22/2024,165.520004,167.259995,164.770004,165.839996,165.615356,48116400
4/23/2024,165.350006,167.050003,164.919998,166.899994,166.67392,49537800
4/24/2024,166.539993,169.300003,166.210007,169.020004,168.791061,48251800
4/25/2024,169.529999,170.610001,168.149994,169.889999,169.659882,50558300
4/26/2024,169.880005,171.339996,169.179993,169.300003,169.070679,44838400
4/29/2024,173.369995,176.029999,173.100006,173.5,173.264984,68169400
4/30/2024,173.330002,174.990005,170,170.330002,170.099289,65934800
5/1/2024,169.580002,172.710007,169.110001,169.300003,169.070679,50383100
5/2/2024,172.509995,173.419998,170.889999,173.029999,172.795624,94214900
5/3/2024,186.649994,187,182.660004,183.380005,183.131607,163224100
5/6/2024,182.350006,184.199997,180.419998,181.710007,181.463882,78569700
5/7/2024,183.449997,184.899994,181.320007,182.399994,182.152924,77305800
5/8/2024,182.850006,183.070007,181.449997,182.740005,182.492477,45057100
5/9/2024,182.559998,184.660004,182.110001,184.570007,184.320007,48983000
5/10/2024,184.899994,185.089996,182.130005,183.050003,183.050003,50759500
5/13/2024,185.440002,187.100006,184.619995,186.279999,186.279999,72044800
5/14/2024,187.509995,188.300003,186.289993,187.429993,187.429993,52393600
5/15/2024,187.910004,190.649994,187.369995,189.720001,189.720001,70400000
5/16/2024,190.470001,191.100006,189.660004,189.839996,189.839996,52845200
5/17/2024,189.509995,190.809998,189.179993,189.869995,189.869995,41282900
5/20/2024,189.330002,191.919998,189.009995,191.039993,191.039993,44361300
5/21/2024,191.089996,192.729996,190.919998,192.350006,192.350006,42309400
5/22/2024,192.270004,192.820007,190.270004,190.899994,190.899994,34648500
5/23/2024,191,191,186.759995,186.794998,186.794998,36809484
